step,val/loss_step_step
0,3.301870584487915
1,2.885629653930664
2,2.2935070991516113
3,3.055612564086914
4,3.3770575523376465
5,3.7038257122039795
6,2.443880796432495
7,3.0558977127075195
8,2.8892533779144287
9,3.428947925567627
10,2.7114882469177246
11,3.3343801498413086
12,2.5920217037200928
13,3.09002947807312
14,2.867295503616333
15,2.7698051929473877
16,3.4867939949035645
17,3.0505123138427734
18,2.8248331546783447
19,3.482666015625
20,3.170297384262085
21,2.4814534187316895
22,2.181715965270996
23,3.0792882442474365
24,3.599519968032837
25,3.142636299133301
26,2.8577184677124023
27,3.00470232963562
28,2.8293263912200928
29,2.953016519546509
30,2.1806390285491943
31,3.12436580657959
32,3.189387321472168
33,2.6398913860321045
34,3.769815683364868
35,3.2948832511901855
36,2.370140314102173
37,2.635840654373169
38,2.981919288635254
39,2.5732054710388184
40,3.292241334915161
41,3.328155517578125
42,2.9430344104766846
43,2.9514169692993164
44,2.6228702068328857
45,3.0717387199401855
46,3.124553680419922
47,3.091932535171509
48,2.4098124504089355
49,3.3629612922668457
50,3.5259337425231934
51,2.9940576553344727
52,2.433143138885498
53,2.933849811553955
54,2.5962119102478027
55,2.7761964797973633
56,2.6201837062835693
57,2.1474978923797607
58,3.5667927265167236
59,2.644437789916992
60,3.362351894378662
61,2.8154892921447754
62,2.6435606479644775
63,2.6768229007720947
64,2.8459887504577637
65,2.6537275314331055
66,2.7910385131835938
67,2.292466640472412
68,2.5096335411071777
69,2.8246188163757324
70,2.9759697914123535
71,2.7378127574920654
72,3.3143694400787354
73,2.912203788757324
74,2.5604195594787598
75,3.2464160919189453
76,2.9593288898468018
77,2.4292078018188477
78,3.2748324871063232
79,2.7538628578186035
80,3.537508010864258
81,3.3151233196258545
82,3.6572306156158447
83,3.250016450881958
84,2.9298508167266846
85,2.7810652256011963
86,3.229229688644409
87,3.523880958557129
88,2.6604180335998535
89,2.0411195755004883
90,2.3092081546783447
91,3.4883034229278564
92,2.4995272159576416
93,3.263197422027588
94,2.325924873352051
95,3.5563981533050537
96,2.902374744415283
97,2.7627670764923096
98,3.467111825942993
99,3.438931703567505
100,2.9534709453582764
101,2.645150899887085
102,3.1425399780273438
103,3.300551652908325
104,2.763242483139038
105,3.1208348274230957
106,2.74287486076355
107,3.6312177181243896
108,2.7931272983551025
109,3.276951313018799
110,3.588172435760498
111,2.912970781326294
112,2.5391948223114014
113,2.6187291145324707
114,2.5390942096710205
115,2.2068960666656494
116,2.3717291355133057
117,2.918915033340454
118,2.8919765949249268
119,2.634483814239502
120,3.1792593002319336
121,2.9503841400146484
122,2.925553560256958
123,3.1455883979797363
124,2.7703654766082764
125,3.2032904624938965
126,2.4066219329833984
127,3.2836697101593018
128,3.1714212894439697
129,3.080880880355835
130,3.020883798599243
131,2.8234076499938965
132,2.656930446624756
133,2.60786771774292
134,2.4730005264282227
135,3.05452823638916
136,3.0076584815979004
137,2.3962020874023438
138,3.3050222396850586
139,2.3729143142700195
140,2.864805221557617
141,2.5383901596069336
142,3.774312734603882
143,2.4178638458251953
144,2.9500584602355957
145,3.317335844039917
146,2.846661329269409
147,2.745518684387207
148,2.7613887786865234
149,2.974113941192627
150,2.8845291137695312
151,2.637202501296997
152,2.6088147163391113
153,2.6685521602630615
154,2.6852431297302246
155,3.235752582550049
156,3.3328568935394287
157,2.083540916442871
158,3.0759692192077637
159,3.372425079345703
160,3.0653932094573975
161,2.668680429458618
162,2.654874324798584
163,2.8726534843444824
164,3.729708671569824
165,3.490309953689575
166,2.7613589763641357
167,2.4631595611572266
168,2.3823952674865723
169,2.85490345954895
170,3.2310140132904053
171,2.8357677459716797
172,2.5416805744171143
173,2.8919918537139893
174,3.2145068645477295
175,2.7434160709381104
176,2.988222599029541
177,1.917592167854309
178,3.3610141277313232
179,2.7505788803100586
180,3.552001953125
181,2.741713047027588
182,2.28863787651062
183,3.445675849914551
184,3.428027868270874
185,2.4503653049468994
186,3.254601240158081
187,3.4612691402435303
188,3.0234296321868896
189,3.3196518421173096
190,3.516188859939575
191,2.8037681579589844
192,2.9932851791381836
193,2.5115761756896973
194,2.5043418407440186
195,2.8520772457122803
196,3.3458895683288574
197,3.5203347206115723
198,2.9982986450195312
199,3.2812211513519287
200,3.1050913333892822
201,2.5604195594787598
202,3.0284454822540283
203,3.3193910121917725
204,3.306731700897217
205,3.489305257797241
206,2.6620984077453613
207,2.442420721054077
208,3.401557207107544
209,2.8167221546173096
210,2.411173105239868
211,2.188948392868042
212,2.600588083267212
213,3.215156316757202
214,2.7877564430236816
215,2.806380271911621
216,2.0429205894470215
217,2.437215805053711
218,3.1638448238372803
219,2.8304972648620605
220,3.3947529792785645
221,2.2499523162841797
222,3.4417660236358643
223,2.757699966430664
224,2.7734787464141846
225,3.12314510345459
226,2.976675033569336
227,3.0929903984069824
228,2.970064878463745
229,3.191694736480713
230,2.6964004039764404
231,2.8143181800842285
232,2.3250677585601807
233,3.2371559143066406
234,2.9462108612060547
235,2.608471155166626
236,2.3710808753967285
237,3.5307626724243164
238,2.9833006858825684
239,3.208832263946533
